ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP1101EW0121,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_055, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0122,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_055, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0123,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_055, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0124,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_056, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0125,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_056, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0126,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_056, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0127,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_057, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0128,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_057, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0129,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_057, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0130,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_058, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
